Use,behavioral.catalog.Catalog.__init__,__init__,param,param
Use,behavioral.catalog.Catalog.__init__,__init__,behavioral.catalog.Catalog._static_method_1,_static_method_1
Use,behavioral.catalog.Catalog.__init__,__init__,behavioral.catalog.Catalog._static_method_2,_static_method_2
Use,behavioral.catalog.Catalog.main_method,main_method,behavioral.catalog.Catalog.param,param
Use,behavioral.catalog.CatalogInstance.__init__,__init__,behavioral.catalog.CatalogInstance._instance_method_choices,_instance_method_choices
Use,behavioral.catalog.CatalogInstance.__init__,__init__,param,param
Use,behavioral.catalog.CatalogInstance._instance_method_1,_instance_method_1,behavioral.catalog.CatalogInstance.x1,x1
Use,behavioral.catalog.CatalogInstance._instance_method_2,_instance_method_2,behavioral.catalog.CatalogInstance.x2,x2
Implicit External Call,behavioral.catalog.CatalogInstance.main_method,main_method,behavioral.memento.Transactional.__get__,__get__
Implicit External Call,behavioral.catalog.CatalogInstance.main_method,main_method,creational.lazy_evaluation.lazy_property.__get__,__get__
Implicit External Call,behavioral.catalog.CatalogInstance.main_method,main_method,structural.3-tier.Data.__get__,__get__
Use,behavioral.catalog.CatalogInstance.main_method,main_method,behavioral.catalog.CatalogInstance.param,param
Use,behavioral.catalog.CatalogClass.__init__,__init__,behavioral.catalog.CatalogClass._class_method_choices,_class_method_choices
Use,behavioral.catalog.CatalogClass.__init__,__init__,param,param
Use,behavioral.catalog.CatalogClass._class_method_1,_class_method_1,behavioral.catalog.CatalogClass.x1,x1
Use,behavioral.catalog.CatalogClass._class_method_2,_class_method_2,behavioral.catalog.CatalogClass.x2,x2
Use,behavioral.catalog.CatalogClass.main_method,main_method,behavioral.catalog.CatalogClass.param,param
Use,behavioral.catalog.CatalogStatic.__init__,__init__,param,param
Use,behavioral.catalog.CatalogStatic.__init__,__init__,behavioral.catalog.CatalogStatic._static_method_choices,_static_method_choices
Use,behavioral.catalog.CatalogStatic.main_method,main_method,behavioral.catalog.CatalogStatic.param,param
Call,behavioral.catalog.main,main,behavioral.catalog.Catalog,Catalog
Implicit Internal Call,behavioral.catalog.main,main,behavioral.catalog.CatalogStatic.main_method,main_method
Call,behavioral.catalog.main,main,behavioral.catalog.CatalogInstance,CatalogInstance
Call,behavioral.catalog.main,main,behavioral.catalog.CatalogStatic.main_method,main_method
Call,behavioral.catalog.main,main,behavioral.catalog.CatalogClass,CatalogClass
Call,behavioral.catalog.main,main,behavioral.catalog.CatalogStatic.main_method,main_method
Call,behavioral.catalog.main,main,behavioral.catalog.CatalogStatic,CatalogStatic
Call,behavioral.catalog.main,main,behavioral.catalog.CatalogStatic.main_method,main_method
Set,behavioral.catalog.main,main,behavioral.catalog.main.test,test
Call,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\catalog.py,catalog.py,behavioral.catalog.main,main
Use,behavioral.chain.Handler.__init__,__init__,successor,successor
Implicit Internal Call,behavioral.chain.Handler.handle,handle,behavioral.chain.Handler._handle,_handle
